depth,SeqCount,CD4_only,CD8_only,CD8_1_mix,both,expected_n4,expected_n8,coeff,pc_4_fixed_n4,pc_8_fixed_n4,Pc_8_neg_fixed_n4,Pc_4_coeff_added
2,386,337,10,39,39,372,14,0.42857142857142855,0.9517951347294351,0.8451542547285166,0.9864675765426315,0.6230961787126184
3,145,111,1,28,33,140,5,0.26373626373626374,0.9261182599397294,0.5750387202671221,0.9976133560813495,0.5939133173264923
4,83,42,0,27,41,80,3,0.15384615384615385,0.8512436607121014,0,1,0.5331207072576822
5,44,23,0,8,21,42,2,0.08391608391608392,0.884838284048998,0,1,0.5390548360242141
6,40,17,0,13,23,39,1,0.04195804195804196,0.8724466561907549,0,1,0.5142900056460418
7,35,12,0,8,23,34,1,0.018648018648018648,0.8627394403150214,0,1,0.4884579474548824
8,17,1,0,4,16,16,1,0.006993006993006993,0.7050167422298631,0,1,0.37912500211659306
9,9,0,0,0,9,9,0,0.001998001998001998,0,0,1,0
10,9,0,0,2,9,9,0,3.33000333000333e-4,0,0,1,0
11,5,0,0,0,5,5,0,0,0,0,1,0
12,2,0,0,0,2,2,0,0,0,0,1,0
13,2,0,0,0,2,2,0,0,0,0,1,0
14,1,0,0,0,1,1,0,0,0,0,1,0
15,1,0,0,0,1,1,0,0,0,0,1,0
