depth,SeqCount,CD8_0,CD8_1,CD8_2,CD8_3,CD8_4,CD8_5,CD8_6,CD8_7,CD8_8,CD8_9,CD8_10
2,114,89,21,4,-,-,-,-,-,-,-,-
3,56,31,17,8,0,-,-,-,-,-,-,-
4,22,10,6,5,1,0,-,-,-,-,-,-
5,20,10,5,2,3,0,0,-,-,-,-,-
6,9,4,2,2,0,1,0,0,-,-,-,-
7,12,3,2,2,2,3,0,0,0,-,-,-
8,5,1,1,2,0,1,0,0,0,0,-,-
9,3,1,0,1,1,0,0,0,0,0,0,-
10,8,2,2,3,0,0,1,0,0,0,0,0
11,3,0,0,1,0,2,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,5,1,2,1,0,0,1,0,0,0,0,0
14,3,0,0,0,3,0,0,0,0,0,0,0
15,2,0,0,0,1,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,1,0,0,0,0
18,1,0,0,0,0,0,1,0,0,0,0,0
19,1,0,0,0,0,1,0,0,0,0,0,0
20,2,0,0,0,0,1,0,1,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,-,0,0,0,0,0,0,0,0,0,0
23,0,-,-,0,0,0,0,0,0,0,0,0
24,0,-,-,-,0,0,0,0,0,0,0,0
25,0,-,-,-,-,0,0,0,0,0,0,0
26,0,-,-,-,-,-,0,0,0,0,0,0
27,0,-,-,-,-,-,-,0,0,0,0,0
28,0,-,-,-,-,-,-,-,0,0,0,0
29,0,-,-,-,-,-,-,-,-,0,0,0
30,0,-,-,-,-,-,-,-,-,-,0,0
31,1,-,-,-,-,-,-,-,-,-,-,1
