,n4,Pc_val,depth,equation
0,14.055147245279299,0.08481392351497108,2,"CD8_0, CD8_1"
1,14.055147245279299,0.08481392351497108,2,"CD8_0, CD8_1"
2,14.055147245279299,0.08481392351497108,2,"CD8_0, CD8_1"
3,371.94485275472107,0.9151860764850289,2,"CD8_0, CD8_1"
4,371.94485275472107,0.9151860764850289,2,"CD8_0, CD8_1"
5,371.94485275472107,0.9151860764850289,2,"CD8_0, CD8_1"
6,371.94485275472107,0.9151860764850289,2,"CD8_0, CD8_1"
7,371.94485275472107,0.9151860764850289,2,"CD8_0, CD8_1"
8,371.94485275472107,0.9151860764850289,2,"CD8_0, CD8_1"
9,5.176750271921398,0.11587837427206109,3,"CD8_0, CD8_1"
10,5.176750271921398,0.11587837427206109,3,"CD8_0, CD8_1"
11,5.176750271921398,0.11587837427206109,3,"CD8_0, CD8_1"
12,5.176750271921398,0.11587837427206109,3,"CD8_0, CD8_1"
13,139.8232497280787,0.884121625727939,3,"CD8_0, CD8_1"
14,139.8232497280787,0.884121625727939,3,"CD8_0, CD8_1"
15,139.8232497280787,0.884121625727939,3,"CD8_0, CD8_1"
16,139.8232497280787,0.884121625727939,3,"CD8_0, CD8_1"
17,10.944419133321166,0.17717359883734504,4,"CD8_0, CD8_1"
18,10.944419133321166,0.17717359883734504,4,"CD8_0, CD8_1"
19,10.944419133321166,0.17717359883734504,4,"CD8_0, CD8_1"
20,72.05558086667814,0.8228264011626549,4,"CD8_0, CD8_1"
21,72.05558086667814,0.8228264011626549,4,"CD8_0, CD8_1"
22,72.05558086667814,0.8228264011626549,4,"CD8_0, CD8_1"
23,72.05558086667814,0.8228264011626549,4,"CD8_0, CD8_1"
24,72.05558086667814,0.8228264011626549,4,"CD8_0, CD8_1"
25,72.05558086667814,0.8228264011626549,4,"CD8_0, CD8_1"
26,12.295124294939468,0.07644852573055162,5,"CD8_0, CD8_1"
27,12.295124294939468,0.07644852573055162,5,"CD8_0, CD8_1"
28,12.295124294939468,0.07644852573055162,5,"CD8_0, CD8_1"
29,31.704875705058388,0.9235514742694484,5,"CD8_0, CD8_1"
30,31.704875705058388,0.9235514742694484,5,"CD8_0, CD8_1"
31,31.704875705058388,0.9235514742694484,5,"CD8_0, CD8_1"
32,31.704875705058388,0.9235514742694484,5,"CD8_0, CD8_1"
33,31.704875705058388,0.9235514742694484,5,"CD8_0, CD8_1"
34,31.704875705058388,0.9235514742694484,5,"CD8_0, CD8_1"
35,31.704875705058388,0.9235514742694484,5,"CD8_0, CD8_1"
