mean_pc,ci_pc_1,ci_pc_2,mean_n4,ci_n4_1,ci_n4_2,mean_cd4_cd4,ci_44_1,ci_44_2
0.9010408387957578,0.8978626078089966,0.904219069782519,371.81553525459026,371.223977543393,372.4070929657875,334.72,333.53245323307885,335.9075467669212
0.8893693025622004,0.8859802484374536,0.8927583566869471,372.0745346457592,371.4279195584811,372.72114973303724,330.5,329.2868036338408,331.7131963661592
0.8790593760497377,0.8754065375725936,0.8827122145268819,372.0188487399555,371.26735880124806,372.77033867866294,326.52,325.2030702463574,327.83692975364255
0.8692848292812859,0.865576855928291,0.8729928026342808,371.8134729539153,371.03548974882585,372.5914561590048,322.63,321.2548154791798,324.0051845208202
0.858428794003099,0.8545949927976558,0.8622625952085422,372.06056306592393,371.25302739734104,372.8680987345068,318.66,317.27571731710646,320.0442826828936
0.8475774239505149,0.8436836377074783,0.8514712101935515,372.3964119625666,371.4647357881709,373.3280881369623,314.74,313.3285760641753,316.1514239358247
0.8379038211258347,0.8339461930144608,0.8418614492372086,372.4928017631699,371.4771187542891,373.5084847720507,311.06,309.668953830031,312.451046169969
0.8262694487987763,0.8221786336935861,0.8303602639039664,372.94334015701463,371.8437462989948,374.04293401503446,306.85,305.4795315668569,308.22046843314314
0.815535627277256,0.8114111139863058,0.8196601405682062,373.24255902711667,372.10598522961556,374.3791328246178,302.8775510204082,301.4926376487877,304.2624643920287
0.8049757404139976,0.8007448477370845,0.8092066330909106,373.4051373479966,372.2125993591674,374.5976753368257,298.85714285714283,297.3940286103266,300.3202571039591
0.7945394752875776,0.7901534723111515,0.7989254782640037,373.75942138735564,372.503666795728,375.0151759789833,294.9791666666667,293.46519392176674,296.49313941156663
